comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,v18_rule,0,6864,0.006620343232609534,0.0026738201764924204,0.300841875168524,0.00017144239388025188,0.006542650868638455,0.0026527175446121013,0.29382230858937897,0.00019210591643446106,-7.769236397107884e-05,-1.1735398187271207,0.007019566579145042,3473
C_minus_B,osi_target_t01h,v18_rule,1,6721,0.010543316288098507,0.0036747096345607915,0.7471165648362865,-0.000411349559126646,0.010444591182606594,0.0036447322561947142,0.7331904284953564,-0.00041002894242758345,-9.872510549191298e-05,-0.936376210238099,0.013926136340930095,3258
C_minus_B,osi_target_t01h,v18_rule,2,6864,0.012954814732213871,0.004018496888837247,1.1519660706564447,-0.0004614993310006978,0.012961300993899295,0.0040180221795205725,1.1531199001913781,-0.0005046200221376689,6.486261685423322e-06,0.050068347710863215,-0.0011538295349333705,3437
C_minus_B,osi_target_t01h,v18_rule,3,6864,0.01590148973819583,0.003907665063001949,1.735613028136054,0.0004932590319072748,0.015885224114551722,0.0038999956812229754,1.7320641292436922,0.0005150536062287482,-1.6265623644106525e-05,-0.10228993579787238,0.0035488988923617626,3330
C_minus_B,osi_target_t01h,v18_rule,4,6864,0.010708809281040742,0.003184415100577655,0.7871538844383227,-0.00034958675723454887,0.01018216288234614,0.0031488771959007323,0.7116350907674749,-0.00038163083950428796,-0.000526646398694602,-4.917880082400905,0.0755187936708478,3546
C_minus_A,osi_target_t01h,v18_rule,0,6864,0.0066210477909235945,0.002674924165033607,0.3009059117043011,0.00016947644075714517,0.006542650868638455,0.0026527175446121013,0.29382230858937897,0.00019210591643446106,-7.839692228513943e-05,-1.1840561307019937,0.007083603114922121,3478
C_minus_A,osi_target_t01h,v18_rule,1,6721,0.010542975641947719,0.0036740989781378092,0.7470682881340304,-0.0004122859955544898,0.010444591182606594,0.0036447322561947142,0.7331904284953564,-0.00041002894242758345,-9.838445934112414e-05,-0.933175440050138,0.01387785963867394,3259
C_minus_A,osi_target_t01h,v18_rule,2,6864,0.012954966983834245,0.004019172851147257,1.1519931478065435,-0.0004639014855132105,0.012961300993899295,0.0040180221795205725,1.1531199001913781,-0.0005046200221376689,6.334010065049689e-06,0.04889252186404125,-0.0011267523848346173,3448
C_minus_A,osi_target_t01h,v18_rule,3,6864,0.015901577595244742,0.003908416331296008,1.7356322070007346,0.0004924769715197644,0.015885224114551722,0.0038999956812229754,1.7320641292436922,0.0005150536062287482,-1.635348069302031e-05,-0.10284187587721316,0.003568077757042376,3331
C_minus_A,osi_target_t01h,v18_rule,4,6864,0.010863149830558083,0.0031919389879833462,0.8100070783912817,-0.0003580847558184917,0.01018216288234614,0.0031488771959007323,0.7116350907674749,-0.00038163083950428796,-0.0006809869482119427,-6.2687798551422365,0.09837198762380683,3549
C_minus_B,osi_target_t06h,v18_rule,0,6624,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.006384927691824942,0.002558577888587442,0.2700426059960137,0.0001707013026038602,-7.486239469724904e-05,-1.1588982566700268,0.0063695478638131076,3292
C_minus_B,osi_target_t06h,v18_rule,1,6486,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.010039804207649205,0.003488253043428323,0.6537736780721584,-0.0003367340082323581,-5.058216133928782e-05,-0.5012906294128205,0.006604230359332219,3095
C_minus_B,osi_target_t06h,v18_rule,2,6624,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.012903726124554258,0.003926064348423584,1.102936723673067,-0.0006818229725913873,1.7674794869432936e-05,0.13716222617177198,-0.003019411469760813,3294
C_minus_B,osi_target_t06h,v18_rule,3,6624,0.012527549470890902,0.0035308859280746186,1.0395672198189796,0.0006412054990872205,0.012563485706622905,0.0035451498110504976,1.0455399306178315,0.0006514148957942492,3.593623573200366e-05,0.2868576637075293,-0.005972710798851866,3187
C_minus_B,osi_target_t06h,v18_rule,4,6624,0.008774183489798587,0.0029235104502660604,0.5099572241254208,-0.00024448003893651774,0.008798980513094653,0.002921255640931371,0.512843712654484,-0.0002884429434648832,2.4797023296066478e-05,0.28261345713702646,-0.002886488529063258,3371
C_minus_A,osi_target_t06h,v18_rule,0,6624,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.006384927691824942,0.002558577888587442,0.2700426059960137,0.0001707013026038602,-7.486239469724904e-05,-1.1588982566700268,0.0063695478638131076,3292
C_minus_A,osi_target_t06h,v18_rule,1,6486,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.010039804207649205,0.003488253043428323,0.6537736780721584,-0.0003367340082323581,-5.058216133928782e-05,-0.5012906294128205,0.006604230359332219,3095
C_minus_A,osi_target_t06h,v18_rule,2,6624,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.012903726124554258,0.003926064348423584,1.102936723673067,-0.0006818229725913873,1.7674794869432936e-05,0.13716222617177198,-0.003019411469760813,3294
