horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.12,improved_vs_v1.12
osi_target_t01h,v1.12,0.006541321178004252,0.002647253429183568,6864,0,0.006541321178004252,0.0,False
osi_target_t01h,shallow_risk_gate,0.006541321178004252,0.002647253429183568,6864,0,0.006541321178004252,0.0,False
osi_target_t01h,v1.12,0.01026302044858961,0.0038598805322090255,6721,1,0.01026302044858961,0.0,False
osi_target_t01h,shallow_risk_gate,0.01026302044858961,0.0038598805322090255,6721,1,0.01026302044858961,0.0,False
osi_target_t01h,v1.12,0.012899847398152354,0.0040243548612994865,6864,2,0.012899847398152354,0.0,False
osi_target_t01h,shallow_risk_gate,0.012899847398152354,0.0040243548612994865,6864,2,0.012899847398152354,0.0,False
osi_target_t01h,v1.12,0.015796981008485887,0.003823243061489669,6864,3,0.015796981008485887,0.0,False
osi_target_t01h,shallow_risk_gate,0.015796981008485887,0.003823243061489669,6864,3,0.015796981008485887,0.0,False
osi_target_t01h,v1.12,0.010816713121384675,0.0031640663767522376,6864,4,0.010816713121384675,0.0,False
osi_target_t01h,shallow_risk_gate,0.010816713121384675,0.0031640663767522376,6864,4,0.010816713121384675,0.0,False
osi_target_t06h,v1.12,0.006391079868926069,0.002547593902723483,6624,0,0.006391079868926069,0.0,False
osi_target_t06h,shallow_risk_gate,0.006391079868926069,0.002547593902723483,6624,0,0.006391079868926069,0.0,False
osi_target_t06h,v1.12,0.009842708287427995,0.0036942997724429536,6486,1,0.009842708287427995,0.0,False
osi_target_t06h,shallow_risk_gate,0.009842708287427995,0.0036942997724429536,6486,1,0.009842708287427995,0.0,False
osi_target_t06h,v1.12,0.012832778950453254,0.0039346099358838465,6624,2,0.012832778950453254,0.0,False
osi_target_t06h,shallow_risk_gate,0.012832778950453254,0.0039346099358838465,6624,2,0.012832778950453254,0.0,False
osi_target_t06h,v1.12,0.012394881928140122,0.003438409401754992,6624,3,0.012394881928140122,0.0,False
osi_target_t06h,shallow_risk_gate,0.012394881928140122,0.003438409401754992,6624,3,0.012394881928140122,0.0,False
osi_target_t06h,v1.12,0.008736992392214486,0.002897691349513629,6624,4,0.008736992392214486,0.0,False
osi_target_t06h,shallow_risk_gate,0.008736992392214486,0.002897691349513629,6624,4,0.008736992392214486,0.0,False
osi_target_t24h,v1.12,0.004547115912935345,0.001882336260677331,5760,0,0.004547115912935345,0.0,False
osi_target_t24h,shallow_risk_gate,0.004547115912935345,0.001882336260677331,5760,0,0.004547115912935345,0.0,False
osi_target_t24h,v1.12,0.008263032601321604,0.0025469453473298403,5640,1,0.008263032601321604,0.0,False
osi_target_t24h,shallow_risk_gate,0.008271592865703602,0.002542268047281442,5640,1,0.008263032601321604,0.10359712704788304,False
osi_target_t24h,v1.12,0.012661692112489091,0.0036515297094518776,5760,2,0.012661692112489091,0.0,False
osi_target_t24h,shallow_risk_gate,0.012661692112489091,0.0036515297094518776,5760,2,0.012661692112489091,0.0,False
osi_target_t24h,v1.12,0.00582143408872206,0.0024798964271421945,5760,3,0.00582143408872206,0.0,False
osi_target_t24h,shallow_risk_gate,0.00582143408872206,0.0024798964271421945,5760,3,0.00582143408872206,0.0,False
osi_target_t24h,v1.12,0.007334385371080194,0.002321535491945628,5760,4,0.007334385371080194,0.0,False
osi_target_t24h,shallow_risk_gate,0.007334385371080194,0.002321535491945628,5760,4,0.007334385371080194,0.0,False
osi_target_t48h,v1.12,0.003539081885677486,0.0014438742657880853,4608,0,0.003539081885677486,0.0,False
osi_target_t48h,shallow_risk_gate,0.003539081885677486,0.0014438742657880853,4608,0,0.003539081885677486,0.0,False
osi_target_t48h,v1.12,0.005640082137699659,0.001741807681507056,4512,1,0.005640082137699659,0.0,False
osi_target_t48h,shallow_risk_gate,0.005650123454330795,0.0017464452708602825,4512,1,0.005640082137699659,0.17803493612296162,False
osi_target_t48h,v1.12,0.01296807009821058,0.003224491123350797,4608,2,0.01296807009821058,0.0,False
osi_target_t48h,shallow_risk_gate,0.012968973729088609,0.0032164348192678096,4608,2,0.01296807009821058,0.006968121479800082,False
osi_target_t48h,v1.12,0.004992649684802682,0.0018993291074240392,4608,3,0.004992649684802682,0.0,False
osi_target_t48h,shallow_risk_gate,0.004992649684802682,0.0018993291074240392,4608,3,0.004992649684802682,0.0,False
osi_target_t48h,v1.12,0.006861674057187713,0.0019289553211435631,4608,4,0.006861674057187713,0.0,False
osi_target_t48h,shallow_risk_gate,0.006861674057187713,0.0019289553211435631,4608,4,0.006861674057187713,0.0,False
